,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_model_snr
8379,FALSE POSITIVE,1,0,1,0,1.12679793,12.079,227.2,1.215,21.07,1590.0,1514.63,5662.0,4.56,0.84,21.1
8380,FALSE POSITIVE,0,1,0,0,0.998217563,3.90851,87567.0,1.003,88.64,2795.0,14421.97,6980.0,4.06,1.755,3979.1
8381,CANDIDATE,0,0,0,0,2.68814059,1.12,145.2,0.532,0.92,1135.0,392.64,5636.0,4.613,0.734,9.1
8382,FALSE POSITIVE,1,0,1,0,0.58640848,2.616,61.3,0.352,0.48,1444.0,1029.91,4556.0,4.676,0.615,23.6
8383,FALSE POSITIVE,0,1,0,0,33.46947449,11.8874,164610.0,0.315,127.38,972.0,211.38,5934.0,3.581,3.075,1255.2
8384,FALSE POSITIVE,0,1,0,0,1.827558898,4.72808,314680.0,0.093,118.28,2178.0,5331.71,5977.0,3.854,2.077,920.8
8385,FALSE POSITIVE,1,0,0,0,62.519211,2.523,277.6,0.081,1.9,520.0,17.29,6343.0,4.411,1.137,6.7
8386,CANDIDATE,0,0,0,0,97.991569,4.665,126.8,0.711,1.41,467.0,11.21,6499.0,4.378,1.169,9.0
8387,FALSE POSITIVE,1,0,1,0,349.85525,5.42,842.0,0.485,2.63,251.0,0.94,5941.0,4.533,0.885,7.9
8388,FALSE POSITIVE,0,1,0,0,2.488812012,5.94523,131000.0,0.931,83.26,1852.0,2776.19,6499.0,4.084,1.497,3290.5
8389,FALSE POSITIVE,1,0,1,0,0.51811818,0.3969,99.0,0.021,1.09,2360.0,7376.27,6240.0,4.502,0.929,7.8
8390,FALSE POSITIVE,1,0,0,0,542.52829,11.06,75.2,0.3252,1.07,266.0,1.19,6099.0,4.204,1.212,11.2
8391,CANDIDATE,0,0,0,0,1.057080807,1.82,60.6,0.966,0.97,1805.0,2518.85,6000.0,4.487,0.946,11.3
8392,FALSE POSITIVE,0,1,0,0,11.567974732,5.96595,416030.0,0.458,45.65,628.0,36.66,5290.0,4.669,0.648,2341.5
8393,FALSE POSITIVE,0,1,0,0,21.294733865,7.60143,123180.0,0.957,71.55,771.0,83.71,6039.0,4.242,1.278,2674.6
8394,CANDIDATE,0,0,0,0,317.062416,7.438,442.9,0.673,1.59,218.0,0.54,5366.0,4.625,0.715,9.8
8395,CANDIDATE,0,0,0,0,13.4959496,2.085,253.6,0.2136,1.62,784.0,89.25,5962.0,4.464,1.019,7.3
8396,FALSE POSITIVE,0,1,0,0,0.855763492,3.64361,131660.0,0.917,72.82,2464.0,8674.28,6679.0,4.286,1.326,598.4
8397,FALSE POSITIVE,0,1,0,0,2.045166206,6.84312,263640.0,0.661,131.41,2422.0,8125.86,7128.0,3.95,2.135,1488.6
8398,FALSE POSITIVE,1,0,0,0,2.41349123,11.29,57.0,0.728,2.11,2348.0,7197.15,6628.0,3.783,2.595,38.1
8399,FALSE POSITIVE,0,0,1,0,0.447820618,0.4199,58.3,0.317,1.42,3141.0,23149.06,5927.0,3.988,1.607,28.4
8400,CANDIDATE,0,0,0,0,43.2675604,8.331,69.1,0.818,1.61,664.0,45.99,5747.0,4.018,1.729,10.0
8401,FALSE POSITIVE,0,1,1,1,1.23133063,3.7,78.9,0.051,0.54,1072.0,311.53,4237.0,4.63,0.631,17.6
